Case #1: 560
21 22 7
22 23 6
23 24 5
24 25 4
25 26 3
26 27 2
27 39 1
Case #121: 405
30
1 33 30
1 2 29
2 3 28
3 4 27
4 5 26
5 6 25
6 7 24
7 8 23
8 9 22
9 10 21
10 11 20
11 12 19
12 13 18
13 14 17
14 15 16
15 16 15
16 17 14
17 18 13
18 19 12
19 20 11
20 21 10
21 22 9
22 23 8
23 24 7
24 25 6
25 26 5
26 27 4
27 28 3
28 29 2
29 33 1
Case #122: 824
24
1 24 50
1 2 49
2 3 48
3 4 47
4 5 46
5 6 45
6 7 44
7 8 43
8 9 42
9 10 41
10 11 40
11 12 39
12 13 38
13 14 37
14 15 36
15 16 35
16 17 34
17 18 33
18 19 32
19 20 31
20 21 30
21 22 29
22 23 28
23 24 27
Case #123: 776
39
1 39 41
1 2 40
2 3 39
3 4 38
4 5 37
5 6 36
6 7 35
7 8 34
8 9 33
9 10 32
10 11 31
11 12 30
12 13 29
13 14 28
14 15 27
15 16 26
16 17 25
17 18 24
18 19 23
19 20 22
20 21 21
21 22 20
22 23 19
23 24 18
24 25 17
25 26 16
26 27 15
27 28 14
28 29 13
29 30 12
30 31 11
31 32 10
32 33 9
33 34 8
34 35 7
35 36 6
36 37 5
37 38 4
38 39 3
Case #124: 377
29
1 43 29
1 2 28
2 3 27
3 4 26
4 5 25
5 6 24
6 7 23
7 8 22
8 9 21
9 10 20
10 11 19
11 12 18
12 13 17
13 14 16
14 15 15
15 16 14
16 17 13
17 18 12
18 19 11
19 20 10
20 21 9
21 22 8
22 23 7
23 24 6
24 25 5
25 26 4
26 27 3
27 28 2
28 43 1
Case #125: 27
9
1 9 9
1 2 8
2 3 7
3 4 6
4 5 5
5 6 4
6 7 3
7 8 2
8 9 1
Case #126: 714
28
1 28 42
1 2 41
2 3 40
3 4 39
4 5 38
5 6 37
6 7 36
7 8 35
8 9 34
9 10 33
10 11 32
11 12 31
12 13 30
13 14 29
14 15 28
15 16 27
16 17 26
17 18 25
18 19 24
19 20 23
20 21 22
21 22 21
22 23 20
23 24 19
24 25 18
25 26 17
26 27 16
27 28 15
Case #127: 77
14
1 22 14
1 2 13
2 3 12
3 4 11
4 5 10
5 6 9
6 7 8
7 8 7
8 9 6
9 10 5
10 11 4
11 12 3
12 13 2
13 22 1
Case #128: 512
29
1 29 34
1 2 33
2 3 32
3 4 31
4 5 30
5 6 29
6 7 28
7 8 27
8 9 26
9 10 25
10 11 24
11 12 23
12 13 22
13 14 21
14 15 20
15 16 19
16 17 18
17 18 17
18 19 16
19 20 15
20 21 14
21 22 13
22 23 12
23 24 11
24 25 10
25 26 9
26 27 8
27 28 7
28 29 6
Case #129: 5
5
1 11 5
1 2 4
2 3 3
3 4 2
4 11 1
Case #130: 0
1
1 38 1
Case #131: 104
16
1 16 16
1 2 15
2 3 14
3 4 13
4 5 12
5 6 11
6 7 10
7 8 9
8 9 8
9 10 7
10 11 6
11 12 5
12 13 4
13 14 3
14 15 2
15 16 1
Case #132: 251
23
1 23 24
1 2 23
2 3 22
3 4 21
4 5 20
5 6 19
6 7 18
7 8 17
8 9 16
9 10 15
10 11 14
11 12 13
12 13 12
13 14 11
14 15 10
15 16 9
16 17 8
17 18 7
18 19 6
19 20 5
20 21 4
21 22 3
22 23 2
Case #133: 449
22
1 22 34
1 2 33
2 3 32
3 4 31
4 5 30
5 6 29
6 7 28
7 8 27
8 9 26
9 10 25
10 11 24
11 12 23
12 13 22
13 14 21
14 15 20
15 16 19
16 17 18
17 18 17
18 19 16
19 20 15
20 21 14
21 22 13
Case #134: 76
9
1 9 16
1 2 15
2 3 14
3 4 13
4 5 12
5 6 11
6 7 10
7 8 9
8 9 8
Case #135: 2
3
1 3 5
1 2 4
2 3 3
Case #136: 850
25
1 25 50
1 2 49
2 3 48
3 4 47
4 5 46
5 6 45
6 7 44
7 8 43
8 9 42
9 10 41
10 11 40
11 12 39
12 13 38
13 14 37
14 15 36
15 16 35
16 17 34
17 18 33
18 19 32
19 20 31
20 21 30
21 22 29
22 23 28
23 24 27
24 25 26
Case #137: 42
4
1 4 24
1 2 23
2 3 22
3 4 21
Case #138: 329
13
1 13 37
1 2 36
2 3 35
3 4 34
4 5 33
5 6 32
6 7 31
7 8 30
8 9 29
9 10 28
10 11 27
11 12 26
12 13 25
Case #139: 124
12
1 12 19
1 2 18
2 3 17
3 4 16
4 5 15
5 6 14
6 7 13
7 8 12
8 9 11
9 10 10
10 11 9
11 12 8
Case #140: 54
12
1 43 12
1 2 11
2 3 10
3 4 9
4 5 8
5 6 7
6 7 6
7 8 5
8 9 4
9 10 3
10 11 2
11 43 1
Case #141: 209
22
1 46 22
1 2 21
2 3 20
3 4 19
4 5 18
5 6 17
6 7 16
7 8 15
8 9 14
9 10 13
10 11 12
11 12 11
12 13 10
13 14 9
14 15 8
15 16 7
16 17 6
17 18 5
18 19 4
19 20 3
20 21 2
21 46 1
Case #142: 9
6
1 36 6
1 2 5
2 3 4
3 4 3
4 5 2
5 36 1
Case #143: 189
21
1 40 21
1 2 20
2 3 19
3 4 18
4 5 17
5 6 16
6 7 15
7 8 14
8 9 13
9 10 12
10 11 11
11 12 10
12 13 9
13 14 8
14 15 7
15 16 6
16 17 5
17 18 4
18 19 3
19 20 2
20 40 1
Case #144: 90
15
1 29 15
1 2 14
2 3 13
3 4 12
4 5 11
5 6 10
6 7 9
7 8 8
8 9 7
9 10 6
10 11 5
11 12 4
12 13 3
13 14 2
14 29 1
Case #145: 0
1
1 15 1
Case #146: 152
19
1 29 19
1 2 18
2 3 17
3 4 16
4 5 15
5 6 14
6 7 13
7 8 12
8 9 11
9 10 10
10 11 9
11 12 8
12 13 7
13 14 6
14 15 5
15 16 4
16 17 3
17 18 2
18 29 1
Case #147: 14
7
1 13 7
1 2 6
2 3 5
3 4 4
4 5 3
5 6 2
6 13 1
Case #148: 119
17
1 47 17
1 2 16
2 3 15
3 4 14
4 5 13
5 6 12
6 7 11
7 8 10
8 9 9
9 10 8
10 11 7
11 12 6
12 13 5
13 14 4
14 15 3
15 16 2
16 47 1
Case #149: 405
30
1 48 30
1 2 29
2 3 28
3 4 27
4 5 26
5 6 25
6 7 24
7 8 23
8 9 22
9 10 21
10 11 20
11 12 19
12 13 18
13 14 17
14 15 16
15 16 15
16 17 14
17 18 13
18 19 12
19 20 11
20 21 10
21 22 9
22 23 8
23 24 7
24 25 6
25 26 5
26 27 4
27 28 3
28 29 2
29 48 1
Case #150: 704
32
1 32 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
24 25 16
25 26 15
26 27 14
27 28 13
28 29 12
29 30 11
30 31 10
31 32 9
Case #151: 197
14
1 14 24
1 2 23
2 3 22
3 4 21
4 5 20
5 6 19
6 7 18
7 8 17
8 9 16
9 10 15
10 11 14
11 12 13
12 13 12
13 14 11
Case #152: 0
1
1 2 1
Case #153: 206
20
1 20 22
1 2 21
2 3 20
3 4 19
4 5 18
5 6 17
6 7 16
7 8 15
8 9 14
9 10 13
10 11 12
11 12 11
12 13 10
13 14 9
14 15 8
15 16 7
16 17 6
17 18 5
18 19 4
19 20 3
Case #154: 583
18
1 18 46
1 2 45
2 3 44
3 4 43
4 5 42
5 6 41
6 7 40
7 8 39
8 9 38
9 10 37
10 11 36
11 12 35
12 13 34
13 14 33
14 15 32
15 16 31
16 17 30
17 18 29
Case #155: 5
5
1 7 5
1 2 4
2 3 3
3 4 2
4 7 1
Case #156: 685
30
1 30 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
24 25 16
25 26 15
26 27 14
27 28 13
28 29 12
29 30 11
Case #157: 170
20
1 35 20
1 2 19
2 3 18
3 4 17
4 5 16
5 6 15
6 7 14
7 8 13
8 9 12
9 10 11
10 11 10
11 12 9
12 13 8
13 14 7
14 15 6
15 16 5
16 17 4
17 18 3
18 19 2
19 35 1
Case #158: 0
1
1 31 1
Case #159: 527
34
1 38 34
1 2 33
2 3 32
3 4 31
4 5 30
5 6 29
6 7 28
7 8 27
8 9 26
9 10 25
10 11 24
11 12 23
12 13 22
13 14 21
14 15 20
15 16 19
16 17 18
17 18 17
18 19 16
19 20 15
20 21 14
21 22 13
22 23 12
23 24 11
24 25 10
25 26 9
26 27 8
27 28 7
28 29 6
29 30 5
30 31 4
31 32 3
32 33 2
33 38 1
Case #160: 77
14
1 49 14
1 2 13
2 3 12
3 4 11
4 5 10
5 6 9
6 7 8
7 8 7
8 9 6
9 10 5
10 11 4
11 12 3
12 13 2
13 49 1
Case #161: 979
37
1 37 47
1 2 46
2 3 45
3 4 44
4 5 43
5 6 42
6 7 41
7 8 40
8 9 39
9 10 38
10 11 37
11 12 36
12 13 35
13 14 34
14 15 33
15 16 32
16 17 31
17 18 30
18 19 29
19 20 28
20 21 27
21 22 26
22 23 25
23 24 24
24 25 23
25 26 22
26 27 21
27 28 20
28 29 19
29 30 18
30 31 17
31 32 16
32 33 15
33 34 14
34 35 13
35 36 12
36 37 11
Case #162: 0
3
1 23 3
1 2 2
2 23 1
Case #163: 1033
46
1 46 47
1 2 46
2 3 45
3 4 44
4 5 43
5 6 42
6 7 41
7 8 40
8 9 39
9 10 38
10 11 37
11 12 36
12 13 35
13 14 34
14 15 33
15 16 32
16 17 31
17 18 30
18 19 29
19 20 28
20 21 27
21 22 26
22 23 25
23 24 24
24 25 23
25 26 22
26 27 21
27 28 20
28 29 19
29 30 18
30 31 17
31 32 16
32 33 15
33 34 14
34 35 13
35 36 12
36 37 11
37 38 10
38 39 9
39 40 8
40 41 7
41 42 6
42 43 5
43 44 4
44 45 3
45 46 2
Case #164: 188
20
1 20 21
1 2 20
2 3 19
3 4 18
4 5 17
5 6 16
6 7 15
7 8 14
8 9 13
9 10 12
10 11 11
11 12 10
12 13 9
13 14 8
14 15 7
15 16 6
16 17 5
17 18 4
18 19 3
19 20 2
Case #165: 152
19
1 24 19
1 2 18
2 3 17
3 4 16
4 5 15
5 6 14
6 7 13
7 8 12
8 9 11
9 10 10
10 11 9
11 12 8
12 13 7
13 14 6
14 15 5
15 16 4
16 17 3
17 18 2
18 24 1
Case #166: 974
41
1 41 46
1 2 45
2 3 44
3 4 43
4 5 42
5 6 41
6 7 40
7 8 39
8 9 38
9 10 37
10 11 36
11 12 35
12 13 34
13 14 33
14 15 32
15 16 31
16 17 30
17 18 29
18 19 28
19 20 27
20 21 26
21 22 25
22 23 24
23 24 23
24 25 22
25 26 21
26 27 20
27 28 19
28 29 18
29 30 17
30 31 16
31 32 15
32 33 14
33 34 13
34 35 12
35 36 11
36 37 10
37 38 9
38 39 8
39 40 7
40 41 6
Case #167: 209
22
1 29 22
1 2 21
2 3 20
3 4 19
4 5 18
5 6 17
6 7 16
7 8 15
8 9 14
9 10 13
10 11 12
11 12 11
12 13 10
13 14 9
14 15 8
15 16 7
16 17 6
17 18 5
18 19 4
19 20 3
20 21 2
21 29 1
Case #168: 152
19
1 31 19
1 2 18
2 3 17
3 4 16
4 5 15
5 6 14
6 7 13
7 8 12
8 9 11
9 10 10
10 11 9
11 12 8
12 13 7
13 14 6
14 15 5
15 16 4
16 17 3
17 18 2
18 31 1
Case #169: 230
23
1 25 23
1 2 22
2 3 21
3 4 20
4 5 19
5 6 18
6 7 17
7 8 16
8 9 15
9 10 14
10 11 13
11 12 12
12 13 11
13 14 10
14 15 9
15 16 8
16 17 7
17 18 6
18 19 5
19 20 4
20 21 3
21 22 2
22 25 1
Case #170: 0
3
1 15 3
1 2 2
2 15 1
Case #171: 0
3
1 35 3
1 2 2
2 35 1
Case #172: 54
12
1 21 12
1 2 11
2 3 10
3 4 9
4 5 8
5 6 7
6 7 6
7 8 5
8 9 4
9 10 3
10 11 2
11 21 1
Case #173: 532
28
1 28 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
18 19 17
19 20 16
20 21 15
21 22 14
22 23 13
23 24 12
24 25 11
25 26 10
26 27 9
27 28 8
Case #174: 27
9
1 27 9
1 2 8
2 3 7
3 4 6
4 5 5
5 6 4
6 7 3
7 8 2
8 27 1
Case #175: 0
3
1 26 3
1 2 2
2 26 1
Case #176: 33
3
1 3 36
1 2 35
2 3 34
Case #177: 515
26
1 26 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
18 19 17
19 20 16
20 21 15
21 22 14
22 23 13
23 24 12
24 25 11
25 26 10
Case #178: 0
1
1 2 1
Case #179: 299
26
1 35 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
15 16 11
16 17 10
17 18 9
18 19 8
19 20 7
20 21 6
21 22 5
22 23 4
23 24 3
24 25 2
25 35 1
Case #180: 283
10
1 10 41
1 2 40
2 3 39
3 4 38
4 5 37
5 6 36
6 7 35
7 8 34
8 9 33
9 10 32
Case #181: 44
4
1 4 25
1 2 24
2 3 23
3 4 22
Case #182: 6
3
1 3 9
1 2 8
2 3 7
Case #183: 552
16
1 16 48
1 2 47
2 3 46
3 4 45
4 5 44
5 6 43
6 7 42
7 8 41
8 9 40
9 10 39
10 11 38
11 12 37
12 13 36
13 14 35
14 15 34
15 16 33
Case #184: 44
11
1 39 11
1 2 10
2 3 9
3 4 8
4 5 7
5 6 6
6 7 5
7 8 4
8 9 3
9 10 2
10 39 1
Case #185: 1034
47
1 48 47
1 2 46
2 3 45
3 4 44
4 5 43
5 6 42
6 7 41
7 8 40
8 9 39
9 10 38
10 11 37
11 12 36
12 13 35
13 14 34
14 15 33
15 16 32
16 17 31
17 18 30
18 19 29
19 20 28
20 21 27
21 22 26
22 23 25
23 24 24
24 25 23
25 26 22
26 27 21
27 28 20
28 29 19
29 30 18
30 31 17
31 32 16
32 33 15
33 34 14
34 35 13
35 36 12
36 37 11
37 38 10
38 39 9
39 40 8
40 41 7
41 42 6
42 43 5
43 44 4
44 45 3
45 46 2
46 48 1
Case #186: 5
5
1 26 5
1 2 4
2 3 3
3 4 2
4 26 1
Case #187: 740
40
1 45 40
1 2 39
2 3 38
3 4 37
4 5 36
5 6 35
6 7 34
7 8 33
8 9 32
9 10 31
10 11 30
11 12 29
12 13 28
13 14 27
14 15 26
15 16 25
16 17 24
17 18 23
18 19 22
19 20 21
20 21 20
21 22 19
22 23 18
23 24 17
24 25 16
25 26 15
26 27 14
27 28 13
28 29 12
29 30 11
30 31 10
31 32 9
32 33 8
33 34 7
34 35 6
35 36 5
36 37 4
37 38 3
38 39 2
39 45 1
Case #188: 2
4
1 25 4
1 2 3
2 3 2
3 25 1
Case #189: 134
7
1 7 31
1 2 30
2 3 29
3 4 28
4 5 27
5 6 26
6 7 25
Case #190: 0
1
1 2 1
Case #191: 360
21
1 21 30
1 2 29
2 3 28
3 4 27
4 5 26
5 6 25
6 7 24
7 8 23
8 9 22
9 10 21
10 11 20
11 12 19
12 13 18
13 14 17
14 15 16
15 16 15
16 17 14
17 18 13
18 19 12
19 20 11
20 21 10
Case #192: 135
18
1 30 18
1 2 17
2 3 16
3 4 15
4 5 14
5 6 13
6 7 12
7 8 11
8 9 10
9 10 9
10 11 8
11 12 7
12 13 6
13 14 5
14 15 4
15 16 3
16 17 2
17 30 1
Case #193: 189
21
1 21 21
1 2 20
2 3 19
3 4 18
4 5 17
5 6 16
6 7 15
7 8 14
8 9 13
9 10 12
10 11 11
11 12 10
12 13 9
13 14 8
14 15 7
15 16 6
16 17 5
17 18 4
18 19 3
19 20 2
20 21 1
Case #194: 424
12
1 12 49
1 2 48
2 3 47
3 4 46
4 5 45
5 6 44
6 7 43
7 8 42
8 9 41
9 10 40
10 11 39
11 12 38
Case #195: 83
10
1 10 16
1 2 15
2 3 14
3 4 13
4 5 12
5 6 11
6 7 10
7 8 9
8 9 8
9 10 7
Case #196: 233
15
1 15 26
1 2 25
2 3 24
3 4 23
4 5 22
5 6 21
6 7 20
7 8 19
8 9 18
9 10 17
10 11 16
11 12 15
12 13 14
13 14 13
14 15 12
Case #197: 1024
43
1 43 47
1 2 46
2 3 45
3 4 44
4 5 43
5 6 42
6 7 41
7 8 40
8 9 39
9 10 38
10 11 37
11 12 36
12 13 35
13 14 34
14 15 33
15 16 32
16 17 31
17 18 30
18 19 29
19 20 28
20 21 27
21 22 26
22 23 25
23 24 24
24 25 23
25 26 22
26 27 21
27 28 20
28 29 19
29 30 18
30 31 17
31 32 16
32 33 15
33 34 14
34 35 13
35 36 12
36 37 11
37 38 10
38 39 9
39 40 8
40 41 7
41 42 6
42 43 5
Case #198: 464
32
1 34 32
1 2 31
2 3 30
3 4 29
4 5 28
5 6 27
6 7 26
7 8 25
8 9 24
9 10 23
10 11 22
11 12 21
12 13 20
13 14 19
14 15 18
15 16 17
16 17 16
17 18 15
18 19 14
19 20 13
20 21 12
21 22 11
22 23 10
23 24 9
24 25 8
25 26 7
26 27 6
27 28 5
28 29 4
29 30 3
30 31 2
31 34 1
Case #199: 560
35
1 35 35
1 2 34
2 3 33
3 4 32
4 5 31
5 6 30
6 7 29
7 8 28
8 9 27
9 10 26
10 11 25
11 12 24
12 13 23
13 14 22
14 15 21
15 16 20
16 17 19
17 18 18
18 19 17
19 20 16
20 21 15
21 22 14
22 23 13
23 24 12
24 25 11
25 26 10
26 27 9
27 28 8
28 29 7
29 30 6
30 31 5
31 32 4
32 33 3
33 34 2
34 35 1
Case #200: 104
16
1 44 16
1 2 15
2 3 14
3 4 13
4 5 12
5 6 11
6 7 10
7 8 9
8 9 8
9 10 7
10 11 6
11 12 5
12 13 4
13 14 3
14 15 2
15 44 1
